Range,Drop,Velocity,Energy,Drift,Time
100,0.0040,2456,1969,-0.9859,117
150,-1.3447,2339,1785,-2.2234,179
200,-4.2833,2226,1617,-4.0176,245
250,-8.9785,2115,1460,-6.4106,314
300,-15.6190,2007,1315,-9.4478,387
350,-24.4188,1903,1182,-13.1786,464
400,-35.6203,1803,1061,-17.6557,545
450,-49.4991,1706,950,-22.9346,630
500,-66.3670,1614,850,-29.0716,721
550,-86.5758,1526,760,-36.1234,816
600,-110.5216,1443,680,-44.1461,918
650,-138.6468,1365,608,-53.1906,1025
700,-171.4405,1293,546,-63.2954,1137
750,-209.4333,1228,492,-74.4789,1257
800,-253.1868,1171,448,-86.7324,1382
850,-303.2776,1121,410,-100.0167,1513
900,-360.4802,1078,379,-114.3158,1650
950,-424.9694,1042,354,-129.4626,1791
1000,-497.4536,1010,333,-145.4366,1938
